ORIGIN,DESTINATION,FLOW
101,102,156410
101,103,17282
101,104,7788
101,105,45960
101,106,20863
101,107,15305
101,108,21341
101,109,13459
101,110,3726
101,111,3844
101,112,2475
101,113,9638
101,114,10174
101,115,11063
101,116,14107
101,117,17478
101,118,25124
101,119,1633
101,120,11802
101,121,4538
101,122,2513
101,123,923
101,124,94564
101,125,14439
101,126,61610
101,201,5791
101,202,6049
101,203,3747
101,204,2677
101,205,9236
101,206,11414
101,207,10786
101,208,2139
101,209,1855
101,210,4224
101,211,4563
101,212,4178
101,213,11452
101,214,5529
101,215,5282
101,216,1966
101,217,8704
101,218,7234
101,219,2866
101,300,534309
102,101,150292
102,103,30107
102,104,24882
102,105,39130
102,106,17531
102,107,8721
102,108,10166
102,109,7047
102,110,2888
102,111,1849
102,112,1741
102,113,5703
102,114,8557
102,115,20221
102,116,25218
102,117,17009
102,118,22932
102,119,1084
102,120,14644
102,121,4795
102,122,2424
102,123,64
102,124,29456
102,125,20339
102,126,23327
102,201,6093
102,202,4136
102,203,2797
102,204,2162
102,205,11036
102,206,8635
102,207,11774
102,208,2213
102,209,1542
102,210,4569
102,211,4229
102,212,3271
102,213,8731
102,214,4487
102,215,5401
102,216,2475
102,217,7808
102,218,6168
102,219,1818
102,300,376136
103,101,17914
103,102,33700
103,104,25369
103,105,5645
103,106,5102
103,107,2130
103,108,2593
103,109,1870
103,110,225
103,111,132
103,113,1815
103,114,7400
103,115,11266
103,116,8536
103,117,22089
103,118,5363
103,119,96
103,120,3402
103,121,1217
103,122,723
103,124,9184
103,125,2761
103,126,5594
103,201,2180
103,202,877
103,203,1061
103,204,64
103,205,5130
103,206,4271
103,207,6274
103,208,36
103,209,32
103,210,2205
103,211,974
103,212,987
103,213,3585
103,214,2132
103,215,1078
103,216,272
103,217,2973
103,218,1338
103,300,122888
104,101,7438
104,102,24845
104,103,26308
104,105,4029
104,106,4035
104,107,1646
104,108,1678
104,109,1675
104,110,36
104,111,96
104,112,32
104,113,1563
104,114,2370
104,115,6197
104,116,30073
104,117,3685
104,118,4123
104,120,6190
104,121,1042
104,122,32
104,124,4190
104,125,2432
104,126,2600
104,201,2614
104,202,1222
104,203,32
104,204,132
104,205,4723
104,206,2628
104,207,4552
104,209,32
104,210,1617
104,211,260
104,212,570
104,213,2916
104,214,472
104,215,1304
104,216,396
104,217,1446
104,218,1085
104,300,59085
105,101,46592
105,102,39343
105,103,4973
105,104,4380
105,106,57693
105,107,11778
105,108,9739
105,109,5816
105,110,2994
105,111,1868
105,112,1496
105,113,4727
105,114,5087
105,115,3440
105,116,8876
105,117,5637
105,118,27871
105,119,1241
105,120,8756
105,121,5531
105,122,2535
105,123,144
105,124,12500
105,125,27392
105,126,107055
105,201,4821
105,202,4483
105,203,2966
105,204,2979
105,205,6008
105,206,6443
105,207,7622
105,208,1916
105,209,252
105,210,3056
105,211,4928
105,212,2873
105,213,7476
105,214,3038
105,215,4524
105,216,2118
105,217,8662
105,218,7385
105,219,2582
105,300,392024
106,101,21091
106,102,18406
106,103,5228
106,104,4525
106,105,58326
106,107,50241
106,108,14109
106,109,7818
106,110,6348
106,111,4257
106,112,4216
106,113,7709
106,114,8805
106,115,5209
106,116,12250
106,117,6626
106,118,102594
106,119,8006
106,120,15817
106,121,32763
106,122,16201
106,123,1701
106,124,14117
106,125,17908
106,126,55836
106,201,9034
106,202,11060
106,203,8421
106,204,10395
106,205,9854
106,206,9593
106,207,10554
106,208,3913
106,209,1486
106,210,4615
106,211,47466
106,212,6697
106,213,15698
106,214,4635
106,215,9599
106,216,3210
106,217,49055
106,218,20680
106,219,10046
106,300,681085
107,101,16195
107,102,8855
107,103,2055
107,104,1677
107,105,11913
107,106,50292
107,108,51968
107,109,7152
107,110,4904
107,111,1924
107,112,1042
107,113,2850
107,114,3741
107,115,1882
107,116,3077
107,117,3806
107,118,10612
107,119,9412
107,120,3212
107,121,9430
107,122,4624
107,123,781
107,124,12051
107,125,3961
107,126,34079
107,201,2507
107,202,4202
107,203,3533
107,204,3794
107,205,3499
107,206,3577
107,207,3998
107,208,1046
107,209,32
107,210,1461
107,211,4574
107,212,1959
107,213,5146
107,214,1768
107,215,2095
107,216,100
107,217,5147
107,218,4251
107,219,3682
107,300,210233
108,101,21407
108,102,10099
108,103,2466
108,104,1789
108,105,10369
108,106,14827
108,107,55060
108,109,40245
108,110,16360
108,111,8841
108,112,2780
108,113,5440
108,114,6416
108,115,2701
108,116,2936
108,117,5841
108,118,8438
108,119,9215
108,120,3174
108,121,6101
108,122,1932
108,123,496
108,124,20126
108,125,3562
108,126,38426
108,201,2695
108,202,8635
108,203,4868
108,204,2376
108,205,3942
108,206,4738
108,207,4368
108,208,2574
108,209,136
108,210,2228
108,211,3065
108,212,2757
108,213,6574
108,214,2463
108,215,2011
108,216,364
108,217,4747
108,218,3729
108,219,1540
108,300,231557
109,101,13420
109,102,6491
109,103,1761
109,104,1506
109,105,5968
109,106,7905
109,107,6937
109,108,39533
109,110,3530
109,111,7825
109,112,2705
109,113,18278
109,114,6542
109,115,2124
109,116,2204
109,117,9173
109,118,5034
109,119,1175
109,120,1838
